,review_index,date,review,rating,status,length,label,language,scores,compound,sentiment
53,34,2021-03-10,Thank you Coursera ,5,completer,19,pos,en,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,pos
54,35,2021-03-10,Good ,5,completer,5,pos,so,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
55,36,2021-03-10,Es war sehr hilfrich,5,completer,20,pos,de,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.5994}",-0.5994,neg
56,37,2021-03-10,it is very helpful to me,5,completer,24,pos,en,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.4754}",0.4754,pos
57,38,2021-03-10,Good start for beginners!!! Thanks to Coursera and University of Michigan!!!!,4,completer,77,pos,en,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.7887}",0.7887,pos
58,39,2021-03-10,nice,4,completer,4,pos,pl,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,pos
59,40,2021-03-10,It helped to understand the concept from very basic it was fun.,5,completer,63,pos,en,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}",0.5106,pos
60,41,2021-03-10,good introduction course to Python.,5,completer,35,pos,en,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,pos
61,41,2021-03-10,This course gives good thinking fundamental about how python work and gives a good example and problem solving,5,completer,110,pos,en,"{'neg': 0.113, 'neu': 0.544, 'pos': 0.343, 'compound': 0.6705}",0.6705,pos
62,42,2021-03-10,Great Course!,5,completer,13,pos,en,"{'neg': 0.0, 'neu': 0.185, 'pos': 0.815, 'compound': 0.6588}",0.6588,pos
63,43,2021-03-10,"I think this class was awesome and, despite it's an online course, I learned o lot and I got fun at the same time.",5,completer,114,pos,en,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.8126}",0.8126,pos
64,43,2021-03-10,I really liked it.,5,completer,18,pos,en,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",0.4754,pos
65,44,2021-03-10,Great introductory course to Python.,5,completer,36,pos,en,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,pos
66,44,2021-03-10,Instructor was really engaging learner's to think.,5,completer,50,pos,en,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4005}",0.4005,pos
67,45,2021-03-10,Highly recommended introductory course.,5,completer,39,pos,en,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.2716}",0.2716,pos
68,46,2021-03-10,Great Course.,5,completer,13,pos,en,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,pos
69,47,2021-03-10,"excellent very good course, the teacher explains very well ",5,completer,59,pos,en,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.8514}",0.8514,pos
70,48,2021-03-10,Highly recommended introductory course.,5,completer,39,pos,en,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.2716}",0.2716,pos
71,49,2021-03-10,Course material is excellent and Instructor has made things and concepts simpler.,5,completer,81,pos,en,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",0.5719,pos
72,50,2021-03-10,Great Course.,5,completer,13,pos,en,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,pos
73,51,2021-03-10,Easy to understand.,5,completer,19,pos,en,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,pos
74,51,2021-03-10,Just the right amount of challenge.,5,completer,35,pos,en,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}",0.0772,pos
75,51,2021-03-10,I really learned a lot.,5,completer,23,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
76,51,2021-03-10,"Although videos were a bit long, which made it a bit boring so I 2x speed'd through it XD.",5,completer,90,pos,en,"{'neg': 0.11, 'neu': 0.672, 'pos': 0.218, 'compound': 0.4995}",0.4995,pos
77,52,2021-03-10,"excellent very good course, the teacher explains very well ",5,completer,59,pos,en,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.8514}",0.8514,pos
78,53,2021-03-10,nice,4,completer,4,pos,pl,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,pos
79,54,2021-03-10,Great beggining,5,completer,15,pos,en,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,pos
80,55,2021-03-10,Excellent Teaching!!........:),5,completer,30,pos,en,"{'neg': 0.0, 'neu': 0.189, 'pos': 0.811, 'compound': 0.6467}",0.6467,pos
81,56,2021-03-10,"A well-presented course on the basics of Python and programming, interspersed with interviews with some of the people who drove the development and use of Python.",5,completer,162,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
82,56,2021-03-10,"The office hours videos were also fun, because it showed others also taking the same course.",5,completer,92,pos,en,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.5106}",0.5106,pos
83,57,2021-03-10,Course material is excellent and Instructor has made things and concepts simpler.,5,completer,81,pos,en,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",0.5719,pos
84,58,2021-03-10,"A well-presented course on the basics of Python and programming, interspersed with interviews with some of the people who drove the development and use of Python.",5,completer,162,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
85,58,2021-03-10,"The office hours videos were also fun, because it showed others also taking the same course.",5,completer,92,pos,en,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.5106}",0.5106,pos
86,59,2021-03-10,Easy to understand.,5,completer,19,pos,en,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,pos
87,59,2021-03-10,Just the right amount of challenge.,5,completer,35,pos,en,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}",0.0772,pos
88,59,2021-03-10,I really learned a lot.,5,completer,23,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
89,59,2021-03-10,"Although videos were a bit long, which made it a bit boring so I 2x speed'd through it XD.",5,completer,90,pos,en,"{'neg': 0.11, 'neu': 0.672, 'pos': 0.218, 'compound': 0.4995}",0.4995,pos
90,60,2021-03-10,Great beggining,5,completer,15,pos,af,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,pos
91,61,2021-03-09,I am grateful to Prof.,5,completer,22,pos,en,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,pos
92,61,2021-03-09,Charles Russell Severance.,5,completer,26,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
93,61,2021-03-09,He starts from grassroot of programming and covers each topic with so simple manner it's is really easy to follow and understand every topic .,5,completer,142,pos,en,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.4927}",0.4927,pos
94,61,2021-03-09,I had very little amount of understanding about try and except.,5,completer,63,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
95,61,2021-03-09,It just got cleared.,5,completer,20,pos,en,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.1027}",0.1027,pos
96,61,2021-03-09,Thanks to Coursera and Prof.,5,completer,28,pos,en,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,pos
97,61,2021-03-09,Charles.,5,completer,8,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
98,61,2021-03-09,Such a grate learning session it was.,5,completer,37,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
99,61,2021-03-09,I enjoyed it throughout.,5,completer,24,pos,en,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.5106}",0.5106,pos
100,61,2021-03-09,Thanks.,5,completer,7,pos,en,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
101,62,2021-03-09,Amazing! A great start off with Python.,5,completer,39,pos,en,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.8478}",0.8478,pos
102,62,2021-03-09,Can't wait to continue more courses with Professor Severance,5,completer,60,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
103,63,2021-03-09,It's Great!!!I love it!!!,5,completer,25,pos,en,"{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.7482}",0.7482,pos
104,64,2021-03-09,love it,5,completer,7,pos,sl,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,pos
105,65,2021-03-09,"Awesome course , I will be happy if the course is somehow available in pdfs.",5,completer,76,pos,en,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.8316}",0.8316,pos
106,65,2021-03-09,I want to thank Coursera a million times for allowing students like us to study this high standards courses who do not have any way to study like this in their places.THANK YOU.,5,completer,177,pos,en,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.7783}",0.7783,pos
107,66,2021-03-09,its really good .,5,completer,17,pos,en,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,pos
108,66,2021-03-09,thank you ,5,completer,10,pos,en,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.3612,pos
109,67,2021-03-09,"
Exceptional

",5,completer,14,pos,ro,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
110,68,2021-03-09,Chuck Sir is very inspiring and energetic.,5,completer,42,pos,en,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.7397}",0.7397,pos
111,68,2021-03-09,We will get interest in doing this course.,5,completer,42,pos,en,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}",0.4588,pos
112,68,2021-03-09,  ,5,completer,2,pos,en,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
113,69,2021-03-09,Python is a basic language programming that everyone should learn it and utilise it in the useful way.,5,completer,102,pos,en,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.4404,pos
114,70,2021-03-09,Literally enjoyed every single video and learnt so much!! Thank you Dr. Chuks!!ð,5,completer,80,pos,en,"{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.8045}",0.8045,pos
115,71,2021-03-09,Good course for students who want to start coding using python,5,completer,62,pos,en,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4939}",0.4939,pos
116,72,2021-03-09,I learnt a lot,5,completer,14,pos,ca,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
117,73,2021-03-08,One of  the best course from coursera ..!!  I have got to learn many skills in this course ...,5,completer,94,pos,en,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.6988}",0.6988,pos
118,73,2021-03-08,Thank you so much Dr.chuck sir .,5,completer,32,pos,en,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,pos
119,73,2021-03-08,its a great experience for me ..Iam deeply thankful that you are my teacher!!,5,completer,77,pos,en,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.865}",0.865,pos
120,74,2021-03-08,One of the best courses with a great instructor who explains every concept in a very simple and beautiful way ,5,completer,110,pos,en,"{'neg': 0.0, 'neu': 0.546, 'pos': 0.454, 'compound': 0.9255}",0.9255,pos
121,75,2021-03-08,Really good course for beginner!,5,completer,32,pos,en,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.54}",0.54,pos
122,76,2021-03-08,Fantastic,5,completer,9,pos,it,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",0.5574,pos
123,77,2021-03-08,That's great to learn sir.,4,completer,26,pos,en,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,pos
124,78,2021-03-08,Good Jobs by the tutors on putting together this great material (Getting started with Python),5,completer,93,pos,en,"{'neg': 0.0, 'neu': 0.626, 'pos': 0.374, 'compound': 0.8305}",0.8305,pos
125,79,2021-03-08,This course is really helpful for the students who are taking some first step learning Python Programming.,5,completer,106,pos,en,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4754}",0.4754,pos
126,79,2021-03-08,It consists of all the basic things you need to know about this programming language ! Go ahead and enroll this course.,5,completer,119,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
127,79,2021-03-08,It won't waste your time.,5,completer,25,pos,en,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.3252}",0.3252,pos
128,80,2021-03-08,"As a first timer with code and programming, this was a very fun and thorough introduction.",5,completer,90,pos,en,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.5563}",0.5563,pos
129,80,2021-03-08,"I'm not looking to be a CS major, but I would like to build my skills with Python for my own projects.",5,completer,102,pos,en,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.5023}",0.5023,pos
130,80,2021-03-08,I feel a lot more confident about venturing into Python and other coding tutorials now.,5,completer,87,pos,en,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.5413}",0.5413,pos
131,80,2021-03-08,I think it's also important to praise the course structure and design.,5,completer,70,pos,en,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6597}",0.6597,pos
132,80,2021-03-08,This was one of the easiest to follow online courses I've ever taken.,5,completer,69,pos,en,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",0.4215,pos
133,80,2021-03-08,Very logical flow and easy to find resources.,5,completer,45,pos,en,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,pos
134,80,2021-03-08,Thanks for making this so accessible to students of all different types.,5,completer,72,pos,en,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}",0.4404,pos
135,81,2021-03-08,Not satisfied with the course content.It was so basic,1,completer,53,neg,en,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.3252}",-0.3252,neg
136,82,2021-03-08,Great course for beginners,4,completer,26,pos,en,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}",0.6249,pos
137,83,2021-03-08,"Honestly, I learned a lot.",5,completer,26,pos,en,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}",0.4588,pos
138,83,2021-03-08,Dr. Charles Severance is a great teacher that made my first Python course fun and engaging.,5,completer,91,pos,en,"{'neg': 0.0, 'neu': 0.55, 'pos': 0.45, 'compound': 0.8689}",0.8689,pos
139,84,2021-03-08,Anyone with no programming experience at all can take this course and trust me you'll understand it perfectly,5,completer,109,pos,en,"{'neg': 0.089, 'neu': 0.607, 'pos': 0.304, 'compound': 0.743}",0.743,pos
140,85,2021-03-08,"great experience, best part is they give you 7 weeks to complete the certification and each week have assignments",5,completer,113,pos,en,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.8519}",0.8519,pos
141,86,2021-03-08,Excellent introduction with great instructor,4,completer,44,pos,en,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.8316}",0.8316,pos
142,87,2021-03-08,Great Course!Dr.Chuck has a unique method of teaching which brings learning to a whole new level.,5,completer,97,pos,en,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.6588}",0.6588,pos
143,88,2021-03-08,It's a great course for a begginer programer,5,completer,44,pos,en,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}",0.6249,pos
144,89,2021-03-08,Awesome,5,completer,7,pos,af,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,pos
145,90,2021-03-08,It was a very informative course,5,completer,32,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
146,91,2021-03-08,nice course,4,completer,11,pos,fr,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
147,92,2021-03-08,Dr Charles Severance has a unique gift of creating interest in topics he teaches.,5,completer,81,pos,en,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7964}",0.7964,pos
148,92,2021-03-08,Have I become an expert after this course?,5,completer,42,pos,en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
149,92,2021-03-08,No. But I now have gained basic coding skills the confidence that I can work on python.,5,completer,87,pos,en,"{'neg': 0.109, 'neu': 0.597, 'pos': 0.294, 'compound': 0.5719}",0.5719,pos
150,92,2021-03-08,"Moreover, this course has established my interest in this field and I'd surely pursue it to diversify my skillset into Data Science field as well",5,completer,145,pos,en,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.7906}",0.7906,pos
