,date,review,rating,status,length,label,language_score,language,scores,compound,sentiment
14,2021-03-11,its really good for those who have zero knowledge about programming or they are beginners. ,5,completer,91,pos,"{'language': 'en', 'score': 0.9999959022333522}",en,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4927}",0.4927,pos
15,2021-03-11,"This was my first online class, and I truly enjoyed it. It is very engaging I managed to finish it it just 2 day.Thank you very much Coursera and Dr. Chuck.",5,completer,156,pos,"{'language': 'en', 'score': 0.9999973804097053}",en,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.8357}",0.8357,pos
16,2021-03-11,This programming language is of the higher value to us learners,5,completer,63,pos,"{'language': 'en', 'score': 0.9999969416102028}",en,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",0.34,pos
17,2021-03-11,Very interactive and a nice course to start programming with Pyhton,5,completer,67,pos,"{'language': 'en', 'score': 0.9999965960784429}",en,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.4703}",0.4703,pos
18,2021-03-11,"

Great course and amazing teacher  ",5,completer,36,pos,"{'language': 'en', 'score': 0.9999962818753305}",en,"{'neg': 0.0, 'neu': 0.275, 'pos': 0.725, 'compound': 0.836}",0.836,pos
19,2021-03-11,BEST AS BEST,5,completer,12,pos,"{'language': 'de', 'score': 0.9999943322753329}",de,"{'neg': 0.0, 'neu': 0.106, 'pos': 0.894, 'compound': 0.8555}",0.8555,pos
20,2021-03-11,Good into to programming using this language,5,completer,44,pos,"{'language': 'en', 'score': 0.8571390465072135}",en,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,pos
21,2021-03-11," Challenging and perfect course for a beginner with python. Awesome instructor with ample input and motivational support to not give up with the new words, logic, and abstract stuff related to computer science. Definitely recommends every learner try the course.",4,completer,262,pos,"{'language': 'en', 'score': 0.9999974297345693}",en,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.9403}",0.9403,pos
22,2021-03-11,"This was my first online class, and I truly enjoyed it. It is very engaging I managed to finish it it just 2 day.Thank you very much Coursera and Dr. Chuck.",5,completer,156,pos,"{'language': 'en', 'score': 0.9999976846520485}",en,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.8357}",0.8357,pos
23,2021-03-11,its really good for those who have zero knowledge about programming or they are beginners. ,5,completer,91,pos,"{'language': 'en', 'score': 0.9999971671396006}",en,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4927}",0.4927,pos
24,2021-03-11,It's really recommended,5,completer,23,pos,"{'language': 'en', 'score': 0.999996667288284}",en,"{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.2716}",0.2716,pos
25,2021-03-11,Super easy and totally for the beginners like the course title. Professor's explanations are clear like crystal. There are some cute moments that make you smile :),5,completer,163,pos,"{'language': 'en', 'score': 0.9999968359168556}",en,"{'neg': 0.0, 'neu': 0.453, 'pos': 0.547, 'compound': 0.9678}",0.9678,pos
26,2021-03-11,This programming language is of the higher value to us learners,5,completer,63,pos,"{'language': 'en', 'score': 0.999996855584031}",en,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",0.34,pos
27,2021-03-11,Great intro class for python,5,completer,28,pos,"{'language': 'en', 'score': 0.9999970424226429}",en,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,pos
28,2021-03-11,"Awesome course! Definitely a very nice introduction to the coding world and nevertheless very easy. I will take the other python courses. Thank you so much, Dr.Chuck!",5,completer,166,pos,"{'language': 'en', 'score': 0.9999972627795195}",en,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.9448}",0.9448,pos
29,2021-03-11,Perfect for new learners,5,completer,24,pos,"{'language': 'en', 'score': 0.9999963656312241}",en,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,pos
30,2021-03-11,it was so good,5,completer,14,pos,"{'language': 'en', 'score': 0.5714269900505695}",en,"{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.5777}",0.5777,pos
31,2021-03-11,"It's an amazing course for the beginners.It is a beginner friendly course, If you don't know programming at all you can take this course it will be very helpful.......it teaches the basics of the programming.",5,completer,208,pos,"{'language': 'en', 'score': 0.9999969700088904}",en,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.7906}",0.7906,pos
32,2021-03-10,Excellent Teaching!!........:),5,completer,30,pos,"{'language': 'en', 'score': 0.7142825982963072}",en,"{'neg': 0.0, 'neu': 0.189, 'pos': 0.811, 'compound': 0.6467}",0.6467,pos
33,2021-03-10,Good stuff,5,completer,10,pos,"{'language': 'en', 'score': 0.5714281365661705}",en,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
34,2021-03-10,"This was my first  time in Coursera , I know  a little basics of python but my all concepts get cleared from this course and I am very excited to learn more about python and learn more from the excellent instructor Dr chuck it was very fun learning with him. Thank you Coursera ",5,completer,278,pos,"{'language': 'en', 'score': 0.9999967381123973}",en,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.9624}",0.9624,pos
35,2021-03-10,Good ,5,completer,5,pos,"{'language': 'so', 'score': 0.8571407603514049}",so,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
36,2021-03-10,Es war sehr hilfrich,5,completer,20,pos,"{'language': 'de', 'score': 0.9999948809990875}",de,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.5994}",-0.5994,neg
37,2021-03-10,it is very helpful to me,5,completer,24,pos,"{'language': 'en', 'score': 0.9999965099167046}",en,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.4754}",0.4754,pos
38,2021-03-10,Good start for beginners!!! Thanks to Coursera and University of Michigan!!!!,4,completer,77,pos,"{'language': 'en', 'score': 0.9999966273367534}",en,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.7887}",0.7887,pos
39,2021-03-10,nice,4,completer,4,pos,"{'language': 'pl', 'score': 0.9999939974752171}",pl,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,pos
40,2021-03-10,It helped to understand the concept from very basic it was fun.,5,completer,63,pos,"{'language': 'en', 'score': 0.9999963086797122}",en,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}",0.5106,pos
41,2021-03-10,good introduction course to Python. This course gives good thinking fundamental about how python work and gives a good example and problem solving,5,completer,146,pos,"{'language': 'en', 'score': 0.9999982641120688}",en,"{'neg': 0.088, 'neu': 0.552, 'pos': 0.36, 'compound': 0.8126}",0.8126,pos
42,2021-03-10,Great Course!,5,completer,13,pos,"{'language': 'en', 'score': 0.9999933360222657}",en,"{'neg': 0.0, 'neu': 0.185, 'pos': 0.815, 'compound': 0.6588}",0.6588,pos
43,2021-03-10,"I think this class was awesome and, despite it's an online course, I learned o lot and I got fun at the same time. I really liked it.",5,completer,133,pos,"{'language': 'en', 'score': 0.9999974558519853}",en,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.8883}",0.8883,pos
44,2021-03-10,Great introductory course to Python. Instructor was really engaging learner's to think.,5,completer,87,pos,"{'language': 'en', 'score': 0.9999939787719754}",en,"{'neg': 0.0, 'neu': 0.595, 'pos': 0.405, 'compound': 0.7778}",0.7778,pos
45,2021-03-10,Highly recommended introductory course.,5,completer,39,pos,"{'language': 'en', 'score': 0.9999970511184465}",en,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.2716}",0.2716,pos
46,2021-03-10,Great Course.,5,completer,13,pos,"{'language': 'en', 'score': 0.9999966854366149}",en,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,pos
47,2021-03-10,"excellent very good course, the teacher explains very well ",5,completer,59,pos,"{'language': 'en', 'score': 0.9999978554187097}",en,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.8514}",0.8514,pos
48,2021-03-10,Highly recommended introductory course.,5,completer,39,pos,"{'language': 'en', 'score': 0.9999987910133223}",en,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.2716}",0.2716,pos
49,2021-03-10,Course material is excellent and Instructor has made things and concepts simpler.,5,completer,81,pos,"{'language': 'en', 'score': 0.9999961277744831}",en,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",0.5719,pos
50,2021-03-10,Great Course.,5,completer,13,pos,"{'language': 'en', 'score': 0.9999953917732174}",en,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,pos
51,2021-03-10,"Easy to understand. Just the right amount of challenge. I really learned a lot. Although videos were a bit long, which made it a bit boring so I 2x speed'd through it XD.",5,completer,170,pos,"{'language': 'en', 'score': 0.9999984667901003}",en,"{'neg': 0.066, 'neu': 0.685, 'pos': 0.249, 'compound': 0.7531}",0.7531,pos
52,2021-03-10,"excellent very good course, the teacher explains very well ",5,completer,59,pos,"{'language': 'en', 'score': 0.999996625624318}",en,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.8514}",0.8514,pos
53,2021-03-10,nice,4,completer,4,pos,"{'language': 'pl', 'score': 0.9999973248331919}",pl,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,pos
54,2021-03-10,Great beggining,5,completer,15,pos,"{'language': 'en', 'score': 0.4285692620591465}",en,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,pos
55,2021-03-10,Excellent Teaching!!........:),5,completer,30,pos,"{'language': 'en', 'score': 0.7142859622783277}",en,"{'neg': 0.0, 'neu': 0.189, 'pos': 0.811, 'compound': 0.6467}",0.6467,pos
56,2021-03-10,"A well-presented course on the basics of Python and programming, interspersed with interviews with some of the people who drove the development and use of Python. The office hours videos were also fun, because it showed others also taking the same course.",5,completer,255,pos,"{'language': 'en', 'score': 0.9999955681506335}",en,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.5106}",0.5106,pos
57,2021-03-10,Course material is excellent and Instructor has made things and concepts simpler.,5,completer,81,pos,"{'language': 'en', 'score': 0.9999967650007593}",en,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",0.5719,pos
58,2021-03-10,"A well-presented course on the basics of Python and programming, interspersed with interviews with some of the people who drove the development and use of Python. The office hours videos were also fun, because it showed others also taking the same course.",5,completer,255,pos,"{'language': 'en', 'score': 0.9999961921523542}",en,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.5106}",0.5106,pos
59,2021-03-10,"Easy to understand. Just the right amount of challenge. I really learned a lot. Although videos were a bit long, which made it a bit boring so I 2x speed'd through it XD.",5,completer,170,pos,"{'language': 'en', 'score': 0.999998170188477}",en,"{'neg': 0.066, 'neu': 0.685, 'pos': 0.249, 'compound': 0.7531}",0.7531,pos
60,2021-03-10,Great beggining,5,completer,15,pos,"{'language': 'af', 'score': 0.5714275451302919}",af,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,pos
61,2021-03-09,I am grateful to Prof. Charles Russell Severance. He starts from grassroot of programming and covers each topic with so simple manner it's is really easy to follow and understand every topic . I had very little amount of understanding about try and except. It just got cleared. Thanks to Coursera and Prof. Charles. Such a grate learning session it was. I enjoyed it throughout. Thanks.,5,completer,386,pos,"{'language': 'en', 'score': 0.9999977256454928}",en,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.9402}",0.9402,pos
62,2021-03-09,Amazing! A great start off with Python. Can't wait to continue more courses with Professor Severance,5,completer,100,pos,"{'language': 'en', 'score': 0.9999959153396032}",en,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.8478}",0.8478,pos
63,2021-03-09,It's Great!!!I love it!!!,5,completer,25,pos,"{'language': 'en', 'score': 0.9999961681885361}",en,"{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.7482}",0.7482,pos
64,2021-03-09,love it,5,completer,7,pos,"{'language': 'sl', 'score': 0.9999957807036016}",sl,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,pos
65,2021-03-09,"Awesome course , I will be happy if the course is somehow available in pdfs. I want to thank Coursera a million times for allowing students like us to study this high standards courses who do not have any way to study like this in their places.THANK YOU.",5,completer,254,pos,"{'language': 'en', 'score': 0.9999986616396994}",en,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.9393}",0.9393,pos
66,2021-03-09,its really good . thank you ,5,completer,28,pos,"{'language': 'en', 'score': 0.8571406859975502}",en,"{'neg': 0.0, 'neu': 0.334, 'pos': 0.666, 'compound': 0.7159}",0.7159,pos
67,2021-03-09,"
Exceptional

",5,completer,14,pos,"{'language': 'ro', 'score': 0.9999957312435814}",ro,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
68,2021-03-09,Chuck Sir is very inspiring and energetic. We will get interest in doing this course.   ,5,completer,88,pos,"{'language': 'en', 'score': 0.9999945685277742}",en,"{'neg': 0.0, 'neu': 0.565, 'pos': 0.435, 'compound': 0.8503}",0.8503,pos
69,2021-03-09,Python is a basic language programming that everyone should learn it and utilise it in the useful way.,5,completer,102,pos,"{'language': 'en', 'score': 0.9999981171091488}",en,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.4404,pos
70,2021-03-09,Literally enjoyed every single video and learnt so much!! Thank you Dr. Chuks!!ð,5,completer,80,pos,"{'language': 'en', 'score': 0.9999947120155352}",en,"{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.8045}",0.8045,pos
71,2021-03-09,Good course for students who want to start coding using python,5,completer,62,pos,"{'language': 'en', 'score': 0.9999963528189303}",en,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4939}",0.4939,pos
72,2021-03-09,I learnt a lot,5,completer,14,pos,"{'language': 'ca', 'score': 0.7142817894699435}",ca,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
73,2021-03-08,One of  the best course from coursera ..!!  I have got to learn many skills in this course ... Thank you so much Dr.chuck sir . its a great experience for me ..Iam deeply thankful that you are my teacher!!,5,completer,205,pos,"{'language': 'en', 'score': 0.9999975070352771}",en,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.9514}",0.9514,pos
74,2021-03-08,One of the best courses with a great instructor who explains every concept in a very simple and beautiful way ,5,completer,110,pos,"{'language': 'en', 'score': 0.9999988833240852}",en,"{'neg': 0.0, 'neu': 0.546, 'pos': 0.454, 'compound': 0.9255}",0.9255,pos
75,2021-03-08,Really good course for beginner!,5,completer,32,pos,"{'language': 'en', 'score': 0.9999955882826711}",en,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.54}",0.54,pos
76,2021-03-08,Fantastic,5,completer,9,pos,"{'language': 'it', 'score': 0.9999926354667794}",it,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",0.5574,pos
77,2021-03-08,That's great to learn sir.,4,completer,26,pos,"{'language': 'en', 'score': 0.9999960791254479}",en,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,pos
78,2021-03-08,Good Jobs by the tutors on putting together this great material (Getting started with Python),5,completer,93,pos,"{'language': 'en', 'score': 0.9999969855823633}",en,"{'neg': 0.0, 'neu': 0.626, 'pos': 0.374, 'compound': 0.8305}",0.8305,pos
79,2021-03-08,This course is really helpful for the students who are taking some first step learning Python Programming. It consists of all the basic things you need to know about this programming language ! Go ahead and enroll this course. It won't waste your time.,5,completer,252,pos,"{'language': 'en', 'score': 0.9999976993118851}",en,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.6924}",0.6924,pos
80,2021-03-08,"As a first timer with code and programming, this was a very fun and thorough introduction. I'm not looking to be a CS major, but I would like to build my skills with Python for my own projects. I feel a lot more confident about venturing into Python and other coding tutorials now. I think it's also important to praise the course structure and design. This was one of the easiest to follow online courses I've ever taken. Very logical flow and easy to find resources. Thanks for making this so accessible to students of all different types.",5,completer,541,pos,"{'language': 'en', 'score': 0.9999971842740779}",en,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.9831}",0.9831,pos
81,2021-03-08,Not satisfied with the course content.It was so basic,1,completer,53,neg,"{'language': 'en', 'score': 0.9999974761646889}",en,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.3252}",-0.3252,neg
82,2021-03-08,Great course for beginners,4,completer,26,pos,"{'language': 'en', 'score': 0.9999942238269757}",en,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}",0.6249,pos
83,2021-03-08,"Honestly, I learned a lot. Dr. Charles Severance is a great teacher that made my first Python course fun and engaging.",5,completer,118,pos,"{'language': 'en', 'score': 0.9999939954148602}",en,"{'neg': 0.0, 'neu': 0.522, 'pos': 0.478, 'compound': 0.9153}",0.9153,pos
84,2021-03-08,Anyone with no programming experience at all can take this course and trust me you'll understand it perfectly,5,completer,109,pos,"{'language': 'en', 'score': 0.9999967979518506}",en,"{'neg': 0.089, 'neu': 0.607, 'pos': 0.304, 'compound': 0.743}",0.743,pos
85,2021-03-08,"great experience, best part is they give you 7 weeks to complete the certification and each week have assignments",5,completer,113,pos,"{'language': 'en', 'score': 0.9999976388642924}",en,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.8519}",0.8519,pos
86,2021-03-08,Excellent introduction with great instructor,4,completer,44,pos,"{'language': 'en', 'score': 0.9999963108201513}",en,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.8316}",0.8316,pos
87,2021-03-08,Great Course!Dr.Chuck has a unique method of teaching which brings learning to a whole new level.,5,completer,97,pos,"{'language': 'en', 'score': 0.9999969691534765}",en,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.6588}",0.6588,pos
88,2021-03-08,It's a great course for a begginer programer,5,completer,44,pos,"{'language': 'en', 'score': 0.9999967977490763}",en,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}",0.6249,pos
89,2021-03-08,Awesome,5,completer,7,pos,"{'language': 'af', 'score': 0.9999959130645331}",af,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,pos
90,2021-03-08,It was a very informative course,5,completer,32,pos,"{'language': 'en', 'score': 0.9999990858594208}",en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
91,2021-03-08,nice course,4,completer,11,pos,"{'language': 'fr', 'score': 0.9999952296394244}",fr,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
92,2021-03-08,"Dr Charles Severance has a unique gift of creating interest in topics he teaches. Have I become an expert after this course? No. But I now have gained basic coding skills the confidence that I can work on python. Moreover, this course has established my interest in this field and I'd surely pursue it to diversify my skillset into Data Science field as well",5,completer,358,pos,"{'language': 'en', 'score': 0.999998234152482}",en,"{'neg': 0.029, 'neu': 0.678, 'pos': 0.293, 'compound': 0.9571}",0.9571,pos
93,2021-03-08,The explanation is very good.And all basic of python covered in this course .,5,completer,77,pos,"{'language': 'en', 'score': 0.9999964472056326}",en,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
94,2021-03-08,I knew nothing about Python before taking this class. Now I feel like I can code anything!! And the instructor wasn't just reading notes off a paper. He was genuine and engaging and made it feel like an in person class. (And I love that he referenced Harry Potter!),5,completer,265,pos,"{'language': 'en', 'score': 0.9999950159384521}",en,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.9095}",0.9095,pos
95,2021-03-08,Thanks Coursera for amazing course learned lot of things from course.,4,completer,69,pos,"{'language': 'en', 'score': 0.9999951445272452}",en,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.7717}",0.7717,pos
96,2021-03-07,This is my first time learning from a foreign Professor. It was a great experience for me. And this course was very understandable. The way Professor Charles Severance explaining things is very interesting. As a beginner I have learnt so many things about python from this course.,5,completer,280,pos,"{'language': 'en', 'score': 0.9999977071429674}",en,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.796}",0.796,pos
97,2021-03-07,Overall a good course to begin your python journey. It's in no way an end all course but will give you enough knowledge to wet your beak.,5,completer,137,pos,"{'language': 'en', 'score': 0.9999960363250977}",en,"{'neg': 0.058, 'neu': 0.871, 'pos': 0.071, 'compound': 0.09}",0.09,pos
98,2021-03-07,Python for everybody is a very helpful and intriguing course and has help me built my profile. Sir Charles makes the course more interesting. Thank you,5,completer,151,pos,"{'language': 'en', 'score': 0.999995874039361}",en,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8901}",0.8901,pos
99,2021-03-07,This course has improved my programming skills. thank you,4,completer,57,pos,"{'language': 'en', 'score': 0.9999965079172499}",en,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.6808}",0.6808,pos
100,2021-03-07,"This course helps me learn programming better,and give me a basic picture of Python. I really love prof Charles!He is very kind and humour.All the examples in this course are very useful and concise.

I hope I can pass all these series of courses .",5,completer,248,pos,"{'language': 'en', 'score': 0.999995132724643}",en,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.9529}",0.9529,pos
101,2021-03-07,amazing course ! i really enjoyed this experience,5,completer,49,pos,"{'language': 'en', 'score': 0.9999975651372102}",en,"{'neg': 0.0, 'neu': 0.342, 'pos': 0.658, 'compound': 0.8264}",0.8264,pos
102,2021-03-07,By adding some more exercises and content would be useful for me. Explanation was excellent by dr.chuck   ,4,completer,106,pos,"{'language': 'en', 'score': 0.9999959676744701}",en,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.765}",0.765,pos
103,2021-03-07,Great course for the beginners. Dr. Chuck's teaching style is very engaging & understandable. Examples & practices assignments help build deeper understanding. Bonus lectures & interviews  especially of Python founders are like cherry on cake.,5,completer,243,pos,"{'language': 'en', 'score': 0.9999949152130393}",en,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.9381}",0.9381,pos
104,2021-03-07,It was very easy to understand the python concepts,5,completer,50,pos,"{'language': 'en', 'score': 0.9999987278128153}",en,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.4927}",0.4927,pos
105,2021-03-07,Great to get a solid beginning into programming python,4,completer,54,pos,"{'language': 'en', 'score': 0.9999967669062886}",en,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.6908}",0.6908,pos
106,2021-03-07,Just amazing experience and materials,5,completer,37,pos,"{'language': 'en', 'score': 0.857140635137932}",en,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.5859}",0.5859,pos
107,2021-03-07,really a helpful for me to clear my concept in programming,5,completer,58,pos,"{'language': 'en', 'score': 0.9999977898708108}",en,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.6901}",0.6901,pos
108,2021-03-06,Amazing!! Doc. Chuck is a Rockstar!!,5,completer,36,pos,"{'language': 'en', 'score': 0.9999973790864007}",en,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.7156}",0.7156,pos
109,2021-03-06,Entertaining and full of knowledge.,5,completer,35,pos,"{'language': 'en', 'score': 0.9999972088930125}",en,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,pos
